Form,Predicted Gender,True Gender,Class Probabilities,Set,Run
bɛn,f,f,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ɛ', {'f': 0.6664305329322815, 'm': 0.3335694968700409}), ('b', {'f': 0.8278682827949524, 'm': 0.1721317172050476})]",test,4
bɛʃ,f,f,"[('ʃ', {'f': 0.5362336039543152, 'm': 0.4637664556503296}), ('ɛ', {'f': 0.8217059373855591, 'm': 0.17829398810863495}), ('b', {'f': 0.9828365445137024, 'm': 0.017163489013910294})]",test,4
1kʁ,m,f,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('k', {'f': 0.24295520782470703, 'm': 0.7570448517799377}), ('1', {'f': 0.12450894713401794, 'm': 0.8754909634590149})]",test,4
dwa,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('w', {'f': 0.3412953317165375, 'm': 0.6587046980857849}), ('d', {'f': 0.028817063197493553, 'm': 0.9711829423904419})]",test,4
ʁɛv,f,m,"[('v', {'f': 0.8452062010765076, 'm': 0.15479378402233124}), ('ɛ', {'f': 0.9027543067932129, 'm': 0.09724562615156174}), ('ʁ', {'f': 0.8734633922576904, 'm': 0.12653663754463196})]",test,4
an2,m,m,"[('2', {'f': 0.614236056804657, 'm': 0.3857640027999878}), ('n', {'f': 0.009186876937747002, 'm': 0.9908130764961243}), ('a', {'f': 0.004377333912998438, 'm': 0.9956226944923401})]",test,4
zum,m,m,"[('m', {'f': 0.6999589800834656, 'm': 0.3000410497188568}), ('u', {'f': 0.3780120313167572, 'm': 0.6219879388809204}), ('z', {'f': 0.013607630506157875, 'm': 0.9863923192024231})]",test,4
lɛʁ,m,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('ɛ', {'f': 0.20153050124645233, 'm': 0.7984694838523865}), ('l', {'f': 0.45418593287467957, 'm': 0.545814037322998})]",test,4
val,f,m,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('a', {'f': 0.27929866313934326, 'm': 0.7207013368606567}), ('v', {'f': 0.882981538772583, 'm': 0.11701846867799759})]",test,4
kap,m,f,"[('p', {'f': 0.6909727454185486, 'm': 0.3090272843837738}), ('a', {'f': 0.6129959225654602, 'm': 0.3870041072368622}), ('k', {'f': 0.30073282122612, 'm': 0.6992672085762024})]",test,4
avi,m,m,"[('i', {'f': 0.3270760774612427, 'm': 0.6729239225387573}), ('v', {'f': 0.5748574733734131, 'm': 0.4251425564289093}), ('a', {'f': 0.2843697667121887, 'm': 0.715630292892456})]",test,4
laʁ,m,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('a', {'f': 0.24591068923473358, 'm': 0.7540892362594604}), ('l', {'f': 0.07560886442661285, 'm': 0.9243910908699036})]",test,4
fɔn,f,m,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ɔ', {'f': 0.7758099436759949, 'm': 0.22419002652168274}), ('f', {'f': 0.7445593476295471, 'm': 0.2554406225681305})]",test,4
ʃɛz,f,f,"[('z', {'f': 0.058962516486644745, 'm': 0.9410375356674194}), ('ɛ', {'f': 0.4256027936935425, 'm': 0.5743972063064575}), ('ʃ', {'f': 0.8565039038658142, 'm': 0.1434960961341858})]",test,4
nɛt,f,m,"[('t', {'f': 0.5709735751152039, 'm': 0.42902636528015137}), ('ɛ', {'f': 0.4469910264015198, 'm': 0.553009033203125}), ('n', {'f': 0.838967502117157, 'm': 0.16103243827819824})]",test,4
2gl,f,m,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('g', {'f': 0.6370503306388855, 'm': 0.3629496693611145}), ('2', {'f': 0.6529409289360046, 'm': 0.34705910086631775})]",test,4
bɔb,m,m,"[('b', {'f': 0.4199768900871277, 'm': 0.5800231099128723}), ('ɔ', {'f': 0.3462153673171997, 'm': 0.6537846326828003}), ('b', {'f': 0.1552344262599945, 'm': 0.8447655439376831})]",test,4
liz,f,f,"[('z', {'f': 0.058962516486644745, 'm': 0.9410375356674194}), ('i', {'f': 0.419518381357193, 'm': 0.5804815888404846}), ('l', {'f': 0.9195235371589661, 'm': 0.08047647774219513})]",test,4
atʁ,f,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('t', {'f': 0.16848322749137878, 'm': 0.8315167427062988}), ('a', {'f': 0.5843464732170105, 'm': 0.4156534969806671})]",test,4
guʒ,f,f,"[('ʒ', {'f': 0.47618362307548523, 'm': 0.5238163471221924}), ('u', {'f': 0.8431135416030884, 'm': 0.15688644349575043}), ('g', {'f': 0.5492635369300842, 'm': 0.4507363736629486})]",test,4
ʁut,f,f,"[('t', {'f': 0.5709735751152039, 'm': 0.42902636528015137}), ('u', {'f': 0.5444007515907288, 'm': 0.45559927821159363}), ('ʁ', {'f': 0.7264527678489685, 'm': 0.2735472619533539})]",test,4
faʁ,f,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('a', {'f': 0.24591068923473358, 'm': 0.7540892362594604}), ('f', {'f': 0.5608909726142883, 'm': 0.43910905718803406})]",test,4
gɔn,f,m,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ɔ', {'f': 0.7758099436759949, 'm': 0.22419002652168274}), ('g', {'f': 0.9797061085700989, 'm': 0.02029390260577202})]",test,4
idʁ,m,f,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('d', {'f': 0.21185125410556793, 'm': 0.7881487607955933}), ('i', {'f': 0.0934247374534607, 'm': 0.9065752625465393})]",test,4
lɔb,m,m,"[('b', {'f': 0.4199768900871277, 'm': 0.5800231099128723}), ('ɔ', {'f': 0.3462153673171997, 'm': 0.6537846326828003}), ('l', {'f': 0.05851076543331146, 'm': 0.9414892196655273})]",test,4
ʁɔb,m,f,"[('b', {'f': 0.4199768900871277, 'm': 0.5800231099128723}), ('ɔ', {'f': 0.3462153673171997, 'm': 0.6537846326828003}), ('ʁ', {'f': 0.18153449892997742, 'm': 0.8184654712677002})]",test,4
m2d,f,m,"[('d', {'f': 0.3649480938911438, 'm': 0.6350519061088562}), ('2', {'f': 0.7050867676734924, 'm': 0.2949132025241852}), ('m', {'f': 0.559562623500824, 'm': 0.4404374063014984})]",test,4
2gʁ,m,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('g', {'f': 0.4773610234260559, 'm': 0.5226390361785889}), ('2', {'f': 0.4248490333557129, 'm': 0.5751509666442871})]",test,4
tyl,f,m,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('y', {'f': 0.509480893611908, 'm': 0.49051913619041443}), ('t', {'f': 0.5009228587150574, 'm': 0.499077171087265})]",test,4
kaʁ,m,f,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('a', {'f': 0.24591068923473358, 'm': 0.7540892362594604}), ('k', {'f': 0.07367062568664551, 'm': 0.9263293743133545})]",test,4
fij,f,f,"[('j', {'f': 0.09132649004459381, 'm': 0.9086735248565674}), ('i', {'f': 0.7849164009094238, 'm': 0.21508359909057617}), ('f', {'f': 0.995053231716156, 'm': 0.004946755710989237})]",test,4
aga,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('g', {'f': 0.14588382840156555, 'm': 0.8541161417961121}), ('a', {'f': 0.14980465173721313, 'm': 0.8501953482627869})]",test,4
ʃas,f,f,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('a', {'f': 0.8072187304496765, 'm': 0.19278129935264587}), ('ʃ', {'f': 0.6614618897438049, 'm': 0.33853811025619507})]",test,4
ʁɛn,f,m,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ɛ', {'f': 0.6664305329322815, 'm': 0.3335694968700409}), ('ʁ', {'f': 0.894672155380249, 'm': 0.10532782226800919})]",test,4
ʁak,m,m,"[('k', {'f': 0.3720655143260956, 'm': 0.627934455871582}), ('a', {'f': 0.16283604502677917, 'm': 0.8371639251708984}), ('ʁ', {'f': 0.07356477528810501, 'm': 0.9264352321624756})]",test,4
ʒwɛ,m,m,"[('ɛ', {'f': 0.5947338342666626, 'm': 0.4052661657333374}), ('w', {'f': 0.22893208265304565, 'm': 0.7710679173469543}), ('ʒ', {'f': 0.019080448895692825, 'm': 0.9809195399284363})]",test,4
fwa,m,f,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('w', {'f': 0.3412953317165375, 'm': 0.6587046980857849}), ('f', {'f': 0.36513927578926086, 'm': 0.6348607540130615})]",test,4
ʃay,m,m,"[('y', {'f': 0.7392519116401672, 'm': 0.26074808835983276}), ('a', {'f': 0.16455835103988647, 'm': 0.8354416489601135}), ('ʃ', {'f': 0.01398012787103653, 'm': 0.9860198497772217})]",test,4
bʁa,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('ʁ', {'f': 0.05655485391616821, 'm': 0.9434452056884766}), ('b', {'f': 0.029133323580026627, 'm': 0.9708666205406189})]",test,4
ɔʁd,f,f,"[('d', {'f': 0.3649480938911438, 'm': 0.6350519061088562}), ('ʁ', {'f': 0.55611652135849, 'm': 0.4438835084438324}), ('ɔ', {'f': 0.6660305857658386, 'm': 0.3339694142341614})]",test,4
abe,m,m,"[('e', {'f': 0.48200544714927673, 'm': 0.5179945826530457}), ('b', {'f': 0.26853054761886597, 'm': 0.731469452381134}), ('a', {'f': 0.28891661763191223, 'm': 0.7110834121704102})]",test,4
bɔn,f,f,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ɔ', {'f': 0.7758099436759949, 'm': 0.22419002652168274}), ('b', {'f': 0.6978024244308472, 'm': 0.30219754576683044})]",test,4
top,f,f,"[('p', {'f': 0.6909727454185486, 'm': 0.3090272843837738}), ('o', {'f': 0.7836078405380249, 'm': 0.21639221906661987}), ('t', {'f': 0.5859689116477966, 'm': 0.41403111815452576})]",test,4
faf,f,m,"[('f', {'f': 0.6526759266853333, 'm': 0.34732407331466675}), ('a', {'f': 0.5996049642562866, 'm': 0.4003950357437134}), ('f', {'f': 0.8699737787246704, 'm': 0.13002625107765198})]",test,4
pal,f,f,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('a', {'f': 0.27929866313934326, 'm': 0.7207013368606567}), ('p', {'f': 0.6047074198722839, 'm': 0.3952925205230713})]",test,4
l3b,m,m,"[('b', {'f': 0.4199768900871277, 'm': 0.5800231099128723}), ('3', {'f': 0.30536651611328125, 'm': 0.6946334838867188}), ('l', {'f': 0.01737258769571781, 'm': 0.9826274514198303})]",test,4
kos,f,m,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('o', {'f': 0.8748341798782349, 'm': 0.12516586482524872}), ('k', {'f': 0.6624841094017029, 'm': 0.3375159800052643})]",test,4
syd,m,m,"[('d', {'f': 0.3649480938911438, 'm': 0.6350519061088562}), ('y', {'f': 0.1901240050792694, 'm': 0.8098759651184082}), ('s', {'f': 0.26389601826667786, 'm': 0.7361040115356445})]",test,4
aʁm,f,f,"[('m', {'f': 0.6999589800834656, 'm': 0.3000410497188568}), ('ʁ', {'f': 0.6066111922264099, 'm': 0.3933887481689453}), ('a', {'f': 0.7730303406715393, 'm': 0.22696974873542786})]",test,4
dɥo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('ɥ', {'f': 0.1979876160621643, 'm': 0.8020124435424805}), ('d', {'f': 0.0164968129247427, 'm': 0.9835031032562256})]",test,4
1g2,m,m,"[('2', {'f': 0.614236056804657, 'm': 0.3857640027999878}), ('g', {'f': 0.01710044965147972, 'm': 0.9828994870185852}), ('1', {'f': 0.0015664711827412248, 'm': 0.998433530330658})]",test,4
nap,f,f,"[('p', {'f': 0.6909727454185486, 'm': 0.3090272843837738}), ('a', {'f': 0.6129959225654602, 'm': 0.3870041072368622}), ('n', {'f': 0.5520122051239014, 'm': 0.44798776507377625})]",test,4
b1g,f,m,"[('g', {'f': 0.5753060579299927, 'm': 0.42469388246536255}), ('1', {'f': 0.7431772947311401, 'm': 0.2568226456642151}), ('b', {'f': 0.5432489514350891, 'm': 0.4567510187625885})]",test,4
fwɛ,m,m,"[('ɛ', {'f': 0.5947338342666626, 'm': 0.4052661657333374}), ('w', {'f': 0.22893208265304565, 'm': 0.7710679173469543}), ('f', {'f': 0.03733089566230774, 'm': 0.9626690745353699})]",test,4
abi,m,m,"[('i', {'f': 0.3270760774612427, 'm': 0.6729239225387573}), ('b', {'f': 0.16538764536380768, 'm': 0.8346123695373535}), ('a', {'f': 0.01916862651705742, 'm': 0.9808313250541687})]",test,4
aks,m,m,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('k', {'f': 0.6310386061668396, 'm': 0.3689614534378052}), ('a', {'f': 0.15125711262226105, 'm': 0.8487429022789001})]",test,4
buʁ,m,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('u', {'f': 0.040883615612983704, 'm': 0.9591163396835327}), ('b', {'f': 0.02632969431579113, 'm': 0.9736703038215637})]",test,4
tɔʒ,f,f,"[('ʒ', {'f': 0.47618362307548523, 'm': 0.5238163471221924}), ('ɔ', {'f': 0.8609092831611633, 'm': 0.13909073173999786}), ('t', {'f': 0.6943250298500061, 'm': 0.3056749999523163})]",test,4
tɔk,m,f,"[('k', {'f': 0.3720655143260956, 'm': 0.627934455871582}), ('ɔ', {'f': 0.4466564953327179, 'm': 0.5533434152603149}), ('t', {'f': 0.1936459094285965, 'm': 0.8063541054725647})]",test,4
sɛl,m,m,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('ɛ', {'f': 0.2962952256202698, 'm': 0.7037047743797302}), ('s', {'f': 0.32792237401008606, 'm': 0.6720775961875916})]",test,4
kav,f,f,"[('v', {'f': 0.8452062010765076, 'm': 0.15479378402233124}), ('a', {'f': 0.7437743544578552, 'm': 0.2562256157398224}), ('k', {'f': 0.8914322257041931, 'm': 0.10856775939464569})]",test,4
2de,m,f,"[('e', {'f': 0.48200544714927673, 'm': 0.5179945826530457}), ('d', {'f': 0.21206852793693542, 'm': 0.7879314422607422}), ('2', {'f': 0.3205094635486603, 'm': 0.6794905662536621})]",test,4
byʃ,f,f,"[('ʃ', {'f': 0.5362336039543152, 'm': 0.4637664556503296}), ('y', {'f': 0.9882500171661377, 'm': 0.011750003322958946}), ('b', {'f': 0.9883027672767639, 'm': 0.01169724203646183})]",test,4
nɛf,f,f,"[('f', {'f': 0.6526759266853333, 'm': 0.34732407331466675}), ('ɛ', {'f': 0.46975576877593994, 'm': 0.5302442312240601}), ('n', {'f': 0.46708744764328003, 'm': 0.5329126119613647})]",test,4
sɛv,f,f,"[('v', {'f': 0.8452062010765076, 'm': 0.15479378402233124}), ('ɛ', {'f': 0.9027543067932129, 'm': 0.09724562615156174}), ('s', {'f': 0.9853119254112244, 'm': 0.014687994495034218})]",test,4
akɛ,m,m,"[('ɛ', {'f': 0.5947338342666626, 'm': 0.4052661657333374}), ('k', {'f': 0.04718555137515068, 'm': 0.9528144598007202}), ('a', {'f': 0.0036406468134373426, 'm': 0.9963592886924744})]",test,4
til,m,m,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('i', {'f': 0.25892147421836853, 'm': 0.7410785555839539}), ('t', {'f': 0.14179648458957672, 'm': 0.8582035303115845})]",test,4
tas,f,f,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('a', {'f': 0.8072187304496765, 'm': 0.19278129935264587}), ('t', {'f': 0.47194740176200867, 'm': 0.5280526280403137})]",test,4
bag,m,f,"[('g', {'f': 0.5753060579299927, 'm': 0.42469388246536255}), ('a', {'f': 0.6020652055740356, 'm': 0.39793479442596436}), ('b', {'f': 0.3914569914340973, 'm': 0.6085430979728699})]",test,4
ʒad,f,m,"[('d', {'f': 0.3649480938911438, 'm': 0.6350519061088562}), ('a', {'f': 0.15533587336540222, 'm': 0.8446641564369202}), ('ʒ', {'f': 0.5342328548431396, 'm': 0.46576711535453796})]",test,4
glɛb,m,f,"[('b', {'f': 0.4199768900871277, 'm': 0.5800231099128723}), ('ɛ', {'f': 0.3608299195766449, 'm': 0.6391700506210327}), ('l', {'f': 0.06810939311981201, 'm': 0.931890606880188}), ('g', {'f': 0.06731761246919632, 'm': 0.9326823949813843})]",test,4
blɛʁ,m,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('ɛ', {'f': 0.20153050124645233, 'm': 0.7984694838523865}), ('l', {'f': 0.45418593287467957, 'm': 0.545814037322998}), ('b', {'f': 0.4057077169418335, 'm': 0.5942922830581665})]",test,4
dama,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('m', {'f': 0.5778875946998596, 'm': 0.4221124053001404}), ('a', {'f': 0.17488279938697815, 'm': 0.8251171708106995}), ('d', {'f': 0.11163820326328278, 'm': 0.8883618116378784})]",test,4
ʃaʁy,m,f,"[('y', {'f': 0.7392519116401672, 'm': 0.26074808835983276}), ('ʁ', {'f': 0.5074762105941772, 'm': 0.49252384901046753}), ('a', {'f': 0.3674370348453522, 'm': 0.6325629353523254}), ('ʃ', {'f': 0.08334380388259888, 'm': 0.9166561961174011})]",test,4
1vwa,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('w', {'f': 0.3412953317165375, 'm': 0.6587046980857849}), ('v', {'f': 0.2980342507362366, 'm': 0.7019656896591187}), ('1', {'f': 0.0612037293612957, 'm': 0.9387962222099304})]",test,4
aʁ1g,f,f,"[('g', {'f': 0.5753060579299927, 'm': 0.42469388246536255}), ('1', {'f': 0.7431772947311401, 'm': 0.2568226456642151}), ('ʁ', {'f': 0.7764397859573364, 'm': 0.22356024384498596}), ('a', {'f': 0.8078721165657043, 'm': 0.19212789833545685})]",test,4
pisa,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('s', {'f': 0.39957427978515625, 'm': 0.6004257202148438}), ('i', {'f': 0.13984838128089905, 'm': 0.8601515889167786}), ('p', {'f': 0.06902723759412766, 'm': 0.9309727549552917})]",test,4
ʒymo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('m', {'f': 0.15843011438846588, 'm': 0.8415699005126953}), ('y', {'f': 0.14940083026885986, 'm': 0.8505991697311401}), ('ʒ', {'f': 0.04067413881421089, 'm': 0.9593258500099182})]",test,4
1f1s,f,f,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('1', {'f': 0.7653533816337585, 'm': 0.23464667797088623}), ('f', {'f': 0.8816097974777222, 'm': 0.11839019507169724}), ('1', {'f': 0.9875827431678772, 'm': 0.012417199090123177})]",test,4
liʁ2,m,m,"[('2', {'f': 0.614236056804657, 'm': 0.3857640027999878}), ('ʁ', {'f': 0.03676461800932884, 'm': 0.9632353782653809}), ('i', {'f': 0.003237898461520672, 'm': 0.9967620372772217}), ('l', {'f': 0.008819028735160828, 'm': 0.9911808967590332})]",test,4
tEʁo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('ʁ', {'f': 0.03851688653230667, 'm': 0.9614831805229187}), ('E', {'f': 0.029509464278817177, 'm': 0.970490574836731}), ('t', {'f': 0.007599299773573875, 'm': 0.9924006462097168})]",test,4
1ʒin,f,f,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('i', {'f': 0.3418002426624298, 'm': 0.6581997871398926}), ('ʒ', {'f': 0.5628979206085205, 'm': 0.4371020495891571}), ('1', {'f': 0.934994101524353, 'm': 0.06500586867332458})]",test,4
aʁnɛ,m,m,"[('ɛ', {'f': 0.5947338342666626, 'm': 0.4052661657333374}), ('n', {'f': 0.4979957342147827, 'm': 0.5020042061805725}), ('ʁ', {'f': 0.15298092365264893, 'm': 0.8470190167427063}), ('a', {'f': 0.04817754030227661, 'm': 0.9518224000930786})]",test,4
kɔʁn,f,f,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ʁ', {'f': 0.6033320426940918, 'm': 0.3966679573059082}), ('ɔ', {'f': 0.8349382877349854, 'm': 0.16506171226501465}), ('k', {'f': 0.8047615885734558, 'm': 0.1952384114265442})]",test,4
bØʁe,m,f,"[('e', {'f': 0.48200544714927673, 'm': 0.5179945826530457}), ('ʁ', {'f': 0.31053754687309265, 'm': 0.689462423324585}), ('Ø', {'f': 0.3652397394180298, 'm': 0.6347602605819702}), ('b', {'f': 0.2595731317996979, 'm': 0.7404268980026245})]",test,4
ʃapo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('p', {'f': 0.26758334040641785, 'm': 0.7324166297912598}), ('a', {'f': 0.026471180841326714, 'm': 0.9735288619995117}), ('ʃ', {'f': 0.005942049436271191, 'm': 0.9940580129623413})]",test,4
pɔʁʃ,m,m,"[('ʃ', {'f': 0.5362336039543152, 'm': 0.4637664556503296}), ('ʁ', {'f': 0.5887588858604431, 'm': 0.41124120354652405}), ('ɔ', {'f': 0.8027015924453735, 'm': 0.19729839265346527}), ('p', {'f': 0.48992833495140076, 'm': 0.5100715756416321})]",test,4
bijo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('j', {'f': 0.012760437093675137, 'm': 0.9872395396232605}), ('i', {'f': 0.006541805807501078, 'm': 0.9934582114219666}), ('b', {'f': 0.003417035797610879, 'm': 0.9965830445289612})]",test,4
glis,f,f,"[('s', {'f': 0.5573604702949524, 'm': 0.44263961911201477}), ('i', {'f': 0.7434041500091553, 'm': 0.2565958797931671}), ('l', {'f': 0.8702653050422668, 'm': 0.12973469495773315}), ('g', {'f': 0.8733327984809875, 'm': 0.12666723132133484})]",test,4
pipi,m,m,"[('i', {'f': 0.3270760774612427, 'm': 0.6729239225387573}), ('p', {'f': 0.34523874521255493, 'm': 0.6547612547874451}), ('i', {'f': 0.3642653822898865, 'm': 0.6357346177101135}), ('p', {'f': 0.40369510650634766, 'm': 0.5963048338890076})]",test,4
s1gl,m,f,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('g', {'f': 0.6370503306388855, 'm': 0.3629496693611145}), ('1', {'f': 0.2808845043182373, 'm': 0.7191154956817627}), ('s', {'f': 0.11216433346271515, 'm': 0.887835681438446})]",test,4
bizu,m,m,"[('u', {'f': 0.34327414631843567, 'm': 0.6567258238792419}), ('z', {'f': 0.012018963694572449, 'm': 0.9879810214042664}), ('i', {'f': 0.004525997210294008, 'm': 0.9954740405082703}), ('b', {'f': 0.0022586239501833916, 'm': 0.9977413415908813})]",test,4
liɲe,m,f,"[('e', {'f': 0.48200544714927673, 'm': 0.5179945826530457}), ('ɲ', {'f': 0.5693037509918213, 'm': 0.4306962788105011}), ('i', {'f': 0.5549764633178711, 'm': 0.4450235068798065}), ('l', {'f': 0.13440512120723724, 'm': 0.8655948638916016})]",test,4
bʁɔʃ,f,f,"[('ʃ', {'f': 0.5362336039543152, 'm': 0.4637664556503296}), ('ɔ', {'f': 0.8928924202919006, 'm': 0.10710760205984116}), ('ʁ', {'f': 0.9384206533432007, 'm': 0.061579376459121704}), ('b', {'f': 0.9764195680618286, 'm': 0.023580463603138924})]",test,4
fono,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('n', {'f': 0.034590307623147964, 'm': 0.9654096961021423}), ('o', {'f': 0.013039825484156609, 'm': 0.9869601726531982}), ('f', {'f': 0.0008170580258592963, 'm': 0.9991828799247742})]",test,4
pivo,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('v', {'f': 0.2675347626209259, 'm': 0.7324652671813965}), ('i', {'f': 0.07348199933767319, 'm': 0.9265180230140686}), ('p', {'f': 0.03188689425587654, 'm': 0.968113124370575})]",test,4
majɛ,m,m,"[('ɛ', {'f': 0.5947338342666626, 'm': 0.4052661657333374}), ('j', {'f': 0.01275190431624651, 'm': 0.9872481226921082}), ('a', {'f': 0.0027351153548806906, 'm': 0.9972648620605469}), ('m', {'f': 0.0008513558423146605, 'm': 0.9991486072540283})]",test,4
talk,m,m,"[('k', {'f': 0.3720655143260956, 'm': 0.627934455871582}), ('l', {'f': 0.10815951973199844, 'm': 0.8918405175209045}), ('a', {'f': 0.30670467019081116, 'm': 0.6932953596115112}), ('t', {'f': 0.26673755049705505, 'm': 0.7332624197006226})]",test,4
azyʁ,f,m,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('y', {'f': 0.3164146840572357, 'm': 0.6835853457450867}), ('z', {'f': 0.20812708139419556, 'm': 0.7918728590011597}), ('a', {'f': 0.7772170901298523, 'm': 0.22278288006782532})]",test,4
gumi,m,m,"[('i', {'f': 0.3270760774612427, 'm': 0.6729239225387573}), ('m', {'f': 0.306353360414505, 'm': 0.6936466097831726}), ('u', {'f': 0.5030856728553772, 'm': 0.4969143271446228}), ('g', {'f': 0.22339506447315216, 'm': 0.776604950428009})]",test,4
spiʁ,m,f,"[('ʁ', {'f': 0.3050438463687897, 'm': 0.6949561834335327}), ('i', {'f': 0.45072105526924133, 'm': 0.549278974533081}), ('p', {'f': 0.5875658988952637, 'm': 0.41243410110473633}), ('s', {'f': 0.1770811229944229, 'm': 0.8229188919067383})]",test,4
vɔlt,m,f,"[('t', {'f': 0.5709735751152039, 'm': 0.42902636528015137}), ('l', {'f': 0.6562809348106384, 'm': 0.3437190353870392}), ('ɔ', {'f': 0.594407320022583, 'm': 0.4055927097797394}), ('v', {'f': 0.4749312102794647, 'm': 0.5250688195228577})]",test,4
paʁa,m,m,"[('a', {'f': 0.28773075342178345, 'm': 0.7122691869735718}), ('ʁ', {'f': 0.05655485391616821, 'm': 0.9434452056884766}), ('a', {'f': 0.1268434375524521, 'm': 0.8731565475463867}), ('p', {'f': 0.031592730432748795, 'm': 0.9684072732925415})]",test,4
d1ʒe,m,m,"[('e', {'f': 0.48200544714927673, 'm': 0.5179945826530457}), ('ʒ', {'f': 0.5104527473449707, 'm': 0.4895473122596741}), ('1', {'f': 0.23160327970981598, 'm': 0.7683967351913452}), ('d', {'f': 0.07710005342960358, 'm': 0.9228999614715576})]",test,4
məno,m,m,"[('o', {'f': 0.6946831941604614, 'm': 0.3053167760372162}), ('n', {'f': 0.034590307623147964, 'm': 0.9654096961021423}), ('ə', {'f': 0.007632065564393997, 'm': 0.9923679232597351}), ('m', {'f': 0.002181325340643525, 'm': 0.9978187084197998})]",test,4
bygl,m,f,"[('l', {'f': 0.26505568623542786, 'm': 0.7349442839622498}), ('g', {'f': 0.6370503306388855, 'm': 0.3629496693611145}), ('y', {'f': 0.5107451677322388, 'm': 0.489254891872406}), ('b', {'f': 0.3245846629142761, 'm': 0.6754152774810791})]",test,4
tuʁn,f,f,"[('n', {'f': 0.40615302324295044, 'm': 0.5938470363616943}), ('ʁ', {'f': 0.6033320426940918, 'm': 0.3966679573059082}), ('u', {'f': 0.5631617903709412, 'm': 0.43683820962905884}), ('t', {'f': 0.976193904876709, 'm': 0.023806044831871986})]",test,4
kaʁm,m,m,"[('m', {'f': 0.6999589800834656, 'm': 0.3000410497188568}), ('ʁ', {'f': 0.6066111922264099, 'm': 0.3933887481689453}), ('a', {'f': 0.7730303406715393, 'm': 0.22696974873542786}), ('k', {'f': 0.448707640171051, 'm': 0.551292359828949})]",test,4
bɛʁʒ,f,f,"[('ʒ', {'f': 0.47618362307548523, 'm': 0.5238163471221924}), ('ʁ', {'f': 0.6131758689880371, 'm': 0.3868241310119629}), ('ɛ', {'f': 0.5936946272850037, 'm': 0.40630537271499634}), ('b', {'f': 0.8293290734291077, 'm': 0.17067089676856995})]",test,4
